word,en,meaning,sentence,reading,romaji,synonyms,language
こんにちは,hello,Daytime greeting,"こんにちは、元気ですか。 — Hello, how are you?",こんにちは,konnichiwa,やあ (yaa);おす (osu),ja
おはよう,good morning,Morning greeting (casual),"おはよう、今日もいい天気だね。 — Good morning, nice weather again today.",おはよう,ohayou,,ja
こんばんは,good evening,Evening greeting,"こんばんは、お元気ですか。 — Good evening, how are you?",こんばんは,konbanwa,,ja
さようなら,goodbye,Farewell greeting,"さようなら、また会いましょう。 — Goodbye, let's meet again.",さようなら,sayounara,またね (mata ne);ではまた (dewa mata),ja
ありがとう,thank you,Expression of gratitude,プレゼントをありがとう。 — Thank you for the present.,ありがとう,arigatou,,ja
すみません,excuse me,Apology or to get attention,"すみません、駅はどこですか。 — Excuse me, where is the station?",すみません,sumimasen,,ja
ごめんなさい,I am sorry,Apology for a mistake,遅れてごめんなさい。 — Sorry for being late.,ごめんなさい,gomen nasai,,ja
お願いします,please,Polite request,"これをお願いします。 — This one, please.",おねがいします,onegaishimasu,ください (kudasai),ja
いただきます,bon appetit,Said before eating,"いただきます、美味しそうですね。 — Let's eat, it looks delicious.",いただきます,itadakimasu,,ja
ごちそうさま,thanks for the meal,Said after eating,"ごちそうさま、とても美味しかったです。 — Thanks for the meal, it was very delicious.",ごちそうさま,gochisousama,,ja
おやすみなさい,good night,Bedtime greeting,"おやすみなさい、いい夢を見てね。 — Good night, sweet dreams.",おやすみなさい,oyasuminasai,,ja
はじめまして,nice to meet you,First meeting greeting,"はじめまして、田中です。 — Nice to meet you, I'm Tanaka.",はじめまして,hajimemashite,,ja
お元気ですか,how are you,Asking about well-being,お元気ですか、久しぶりですね。 — How are you? It's been a while.,おげんきですか,ogenki desu ka,,ja
いらっしゃいませ,welcome,Welcome to a shop,"いらっしゃいませ、何名様ですか。 — Welcome, how many guests?",いらっしゃいませ,irasshaimase,,ja
私,I,First person pronoun,私は学生です。 — I am a student.,わたし,watashi,,ja
あなた,you,Second person pronoun,あなたの名前は何ですか。 — What is your name?,あなた,anata,,ja
彼,he,Third person male pronoun,彼は私の友達です。 — He is my friend.,かれ,kare,,ja
彼女,she,Third person female pronoun,彼女はとても優しい人です。 — She is a very kind person.,かのじょ,kanojo,,ja
私たち,we,First person plural pronoun,私たちは日本語を勉強しています。 — We are studying ja.,わたしたち,watashitachi,,ja
誰,who,Interrogative pronoun for people,誰が来ましたか。 — Who came?,だれ,dare,,ja
何,what,Interrogative pronoun for things,何を食べたいですか。 — What do you want to eat?,なに,nani,,ja
自分,oneself,Reflexive pronoun,自分のことは自分でやります。 — I do my own things myself.,じぶん,jibun,,ja
はい,yes,Affirmative response,"はい、分かりました。 — Yes, I understand.",はい,hai,,ja
いいえ,no,Negative response,"いいえ、結構です。 — No, I'm fine.",いいえ,iie,,ja
たぶん,maybe,Expression of uncertainty,たぶん明日は雨が降るでしょう。 — It will probably rain tomorrow.,たぶん,tabun,おそらく (osoraku);かもしれない (kamoshirenai),ja
もちろん,of course,Definite affirmation,もちろん手伝いますよ。 — Of course I'll help.,もちろん,mochiron,,ja
一,one,The number 1,"一つください。 — One, please.",いち,ichi,壱 (ichi),ja
二,two,The number 2,"二人で行きましょう。 — Let's go together, just the two of us.",に,ni,弐 (ni),ja
三,three,The number 3,三時に会いましょう。 — Let's meet at three o'clock.,さん,san,参 (san),ja
四,four,The number 4,四月は桜の季節です。 — April is cherry blossom season.,よん,yon,肆 (shi),ja
五,five,The number 5,五分だけ待ってください。 — Please wait just five minutes.,ご,go,伍 (go),ja
六,six,The number 6,六時に起きます。 — I wake up at six o'clock.,ろく,roku,陸 (roku),ja
七,seven,The number 7,七月に旅行に行きます。 — I'm going on a trip in July.,なな,nana,漆 (nana),ja
八,eight,The number 8,八百屋で野菜を買います。 — I buy vegetables at the greengrocer.,はち,hachi,捌 (hachi),ja
九,nine,The number 9,九時から授業が始まります。 — Class starts at nine o'clock.,きゅう,kyuu,玖 (kyuu),ja
十,ten,The number 10,十個のりんごを買いました。 — I bought ten apples.,じゅう,juu,拾 (juu),ja
百,hundred,The number 100,これは百円です。 — This is one hundred yen.,ひゃく,hyaku,佰 (hyaku),ja
千,thousand,The number 1000,"千円札を一枚ください。 — One thousand-yen bill, please.",せん,sen,仟 (sen),ja
万,ten thousand,The number 10000,この鞄は一万円です。 — This bag is ten thousand yen.,まん,man,,ja
零,zero,The number 0,今日の気温は零度です。 — Today's temperature is zero degrees.,れい,rei,ゼロ (zero),ja
今日,today,The current day,今日は天気がいいです。 — The weather is nice today.,きょう,kyou,,ja
明日,tomorrow,The day after today,明日は学校に行きます。 — I'm going to school tomorrow.,あした,ashita,,ja
昨日,yesterday,The day before today,昨日は映画を見ました。 — I watched a movie yesterday.,きのう,kinou,,ja
朝,morning,Early part of the day,朝早く起きました。 — I woke up early in the morning.,あさ,asa,午前 (gozen),ja
昼,noon,Middle of the day,昼ごはんを食べましょう。 — Let's eat lunch.,ひる,hiru,正午 (shougo),ja
夜,night,Evening or nighttime,夜は静かです。 — It's quiet at night.,よる,yoru,晩 (ban),ja
今,now,The present moment,今何時ですか。 — What time is it now?,いま,ima,,ja
時間,time,Duration or time,時間がありません。 — I don't have time.,じかん,jikan,時 (toki),ja
毎日,every day,Each day,毎日日本語を勉強します。 — I study ja every day.,まいにち,mainichi,,ja
毎週,every week,Each week,毎週土曜日に買い物に行きます。 — I go shopping every Saturday.,まいしゅう,maishuu,,ja
先週,last week,The week before this one,先週は忙しかったです。 — Last week was busy.,せんしゅう,senshuu,,ja
来週,next week,The week after this one,来週テストがあります。 — There's a test next week.,らいしゅう,raishuu,,ja
午前,AM,Before noon,午前中に仕事を終わらせます。 — I'll finish work by noon.,ごぜん,gozen,,ja
午後,PM,After noon,午後から雨が降るそうです。 — I heard it will rain in the afternoon.,ごご,gogo,,ja
今週,this week,The current week,今週は予定がたくさんあります。 — I have a lot of plans this week.,こんしゅう,konshuu,,ja
今月,this month,The current month,今月の給料日はいつですか。 — When is payday this month?,こんげつ,kongetsu,,ja
今年,this year,The current year,今年は旅行に行きたいです。 — I want to go on a trip this year.,ことし,kotoshi,,ja
母,mother,One's own mother,母は料理が上手です。 — My mother is a good cook.,はは,haha,お母さん (okaasan),ja
父,father,One's own father,父は会社で働いています。 — My father works at a company.,ちち,chichi,お父さん (otousan),ja
兄,older brother,One's own older brother,兄は大学生です。 — My older brother is a college student.,あに,ani,,ja
姉,older sister,One's own older sister,姉は東京に住んでいます。 — My older sister lives in Tokyo.,あね,ane,,ja
弟,younger brother,One's own younger brother,弟はサッカーが好きです。 — My younger brother likes soccer.,おとうと,otouto,,ja
妹,younger sister,One's own younger sister,妹は高校生です。 — My younger sister is a high school student.,いもうと,imouto,,ja
家族,family,Family members,家族と一緒に夕食を食べます。 — I eat dinner together with my family.,かぞく,kazoku,一家 (ikka),ja
子供,child,A young person,子供たちは公園で遊んでいます。 — The children are playing in the park.,こども,kodomo,子 (ko),ja
赤ちゃん,baby,An infant,赤ちゃんが寝ています。 — The baby is sleeping.,あかちゃん,akachan,乳児 (nyuuji),ja
夫,husband,One's own husband,夫は毎朝ジョギングをします。 — My husband goes jogging every morning.,おっと,otto,旦那 (danna),ja
妻,wife,One's own wife,妻は花が好きです。 — My wife likes flowers.,つま,tsuma,奥さん (okusan),ja
祖母,grandmother,One's own grandmother,祖母の家に遊びに行きます。 — I'm going to visit my grandmother's house.,そぼ,sobo,おばあさん (obaasan),ja
祖父,grandfather,One's own grandfather,祖父は釣りが趣味です。 — My grandfather's hobby is fishing.,そふ,sofu,おじいさん (ojiisan),ja
水,water,Drinking water,"水を一杯ください。 — A glass of water, please.",みず,mizu,,ja
米,rice (uncooked),Uncooked rice grain,米を炊きます。 — I'm going to cook rice.,こめ,kome,,ja
ご飯,rice / meal,Cooked rice or a meal,ご飯を食べましょう。 — Let's eat.,ごはん,gohan,食事 (shokuji),ja
肉,meat,Animal meat for eating,肉を焼いています。 — I'm grilling meat.,にく,niku,食肉 (shokuniku),ja
魚,fish,Fish for eating,魚が新鮮です。 — The fish is fresh.,さかな,sakana,,ja
