word,en,meaning,sentence,reading,romaji,synonyms,language
de,the,Definite article,**De** kat zit op de mat. — **The** cat sits on the mat.,,,het,nl
1 van,of,Indicates belonging or relation,Dit is een **van** de mooiste plaatsen. — This is one **of** the most beautiful places.,,,uit;onder,nl
en,and,Conjunction to connect words,Ik eet brood **en** kaas. — I eat bread **and** cheese.,,,ook;plus;alsmede,nl
een,a/an,Indefinite article,Ik zie **een** vogel in de boom. — I see **a** bird in the tree.,,,zo'n;enige,nl
het,the,Definite article (neuter),**Het** huis is groot. — **The** house is big.,,,de,nl
zijn,to be,Verb indicating existence,Zij **zijn** thuis. — They **are** at home.,,,wezen;bestaan;vormen,nl
in,in,Preposition of place,Hij woont **in** Amsterdam. — He lives **in** Amsterdam.,,,binnen;te,nl
te,to,Used before infinitive,Hij gaat **te** voet naar school. — He goes **on** foot to school.,,,naar;om,nl
ik,I,First person singular pronoun,**Ik** ga morgen naar de winkel. — **I** am going to the shop tomorrow.,,,mezelf,nl
hebben,to have,Possession verb,Wij **hebben** een hond. — We **have** a dog.,,,bezitten;houden;dragen,nl
hij,he,Third person singular masculine,**Hij** werkt elke dag hard. — **He** works hard every day.,,,die;hem,nl
die,that/those,Demonstrative pronoun,**Die** man is mijn vader. — **That** man is my father.,,,dat;deze;welke,nl
niet,not,Negation word,Ik ga **niet** naar huis. — I am **not** going home.,,,geen;nooit;nimmer,nl
met,with,Preposition,Ik ga **met** mijn vriend naar de film. — I am going to the cinema **with** my friend.,,,samen;bij,nl
op,on,Preposition,Het boek ligt **op** de tafel. — The book is **on** the table.,,,boven;aan,nl
dat,that,Demonstrative pronoun,Ik weet **dat** hij gelijk heeft. — I know **that** he is right.,,,die;hetwelk,nl
worden,to become,Verb indicating change,Hij wil arts **worden**. — He wants to **become** a doctor.,,,zijn;raken;veranderen,nl
ze,they/she,Pronoun,**Ze** lopen naar school. — **They** walk to school.,,,zij;hen;hun,nl
voor,for,Preposition,Dit is **voor** jou. — This is **for** you.,,,ten behoeve van;ten gunste van,nl
als,if/when,Conjunction,**Als** het regent blijf ik thuis. — **If** it rains I stay at home.,wanneer;indien;zodra;wanneer;indien;zodra,nl
er,there,Existential word,**Er** zijn veel mensen in de stad. — **There** are many people in the city.,,,daar;hier,nl
aan,on/to,Preposition,Ik hang de foto **aan** de muur. — I hang the photo **on** the wall.,,,op;tegen;bij,nl
maar,but / only,Conjunction,Ik wil gaan **maar** ik ben moe. — I want to go, **but** I am tired.,echter;doch;toch;echter;doch;toch,nl
je,you,Second person informal,Hoe gaat het met **je**? — How are **you** doing?,,,jij;jou,nl
zullen,will (future),Future auxiliary verb,We **zullen** morgen vertrekken. — We **will** leave tomorrow.,,,gaan;mogen,nl
kunnen,can,Ability verb,**Kun** jij zwemmen? — **Can** you swim?,,,mogen;vermogen,nl
om,to/around,Preposition,Hij gaat **om** de tafel heen. — He goes **around** the table.,,,rond;rondom,nl
haar,her / hair,Possessive pronoun,Dit is **haar** boek. — This is **her** book.,,,van haar;die,nl
naar,to,Direction preposition,Wij gaan **naar** school. — We are going **to** school.,,,richting;in de richting van,nl
ook,also,Adds information,Ik wil **ook** een koekje. — I also want a biscuit **too**.,,,eveneens;tevens;bovendien,nl
of,or,Choice conjunction,Wil je thee **of** koffie? — Do you want tea **or** coffee?,,,dan;ofwel,nl
bij,at/with,Preposition,Ik ben **bij** mijn moeder thuis. — I am **at** my mother's home.,,,aan;op;naast,nl
zich,oneself,Reflexive pronoun,Hij schaamt **zich**. — He is ashamed of **himself**.,,,zichzelf,nl
nog,still/yet,Time indicator,Ben je **nog** wakker? — Are you **still** awake?,,,steeds;toch;wel,nl
door,through/by,Preposition,Ze loopt **door** het park. — She walks **through** the park.,,,via;langs;overheen,nl
wat,what,Question word,**Wat** wil jij eten? — **What** do you want to eat?,,,welk;hoeveel,nl
gaan,to go,Movement verb,Morgen **ga** ik naar de markt. — Tomorrow I **go** to the market.,,,lopen;reizen;vertrekken,nl
hem,him,Object pronoun,Ik zie **hem** elke dag. — I see **him** every day.,,,die;diegene,nl
komen,to come,Movement verb,Wanneer **kom** jij naar huis? — When are you **coming** home?,,,aankomen;arriveren;verschijnen,nl
zeggen,to say,Speech verb,Wat wil je **zeggen**? — What do you want to **say**?,,,spreken;vertellen;mededelen,nl
dan,then,Time relation,Eerst werken **dan** spelen. — First work **then** play.,vervolgens;daarna;nadien;vervolgens;daarna;nadien,nl
zo,so / like this,Degree word,Het is **zo** eenvoudig. — It is **so** simple.,,,zodanig;dergelijk,nl
moeten,must,Obligation verb,Ik **moet** vroeg opstaan. — I **must** get up early.,,,dienen;behoren;zijn verplicht,nl
over,about/over,Preposition,We praten **over** het weer. — We talk **about** the weather.,,,aangaande;betreffende;omtrent,nl
mijn,my,Possessive pronoun,Dit is **mijn** huis. — This is **my** house.,,,van mij;eigen,nl
zij,she/they,Pronoun,**Zij** werkt als lerares. — **She** works as a teacher.,,,ze;haar,nl
deze,this/these,Demonstrative,**Deze** auto is nieuw. — **This** car is new.,,,dit;die;de,nl
tot,until,Time preposition,Ik werk **tot** vijf uur. — I work **until** five o'clock.,,,totdat;naar;aan,nl
we,we,First person plural,**We** eten samen vanavond. — **We** eat together tonight.,,,wij;ons,nl
meer,more,Quantity word,Ik wil **meer** water. — I want **more** water.,,,verder;extra;bovendien,nl
zien,to see,Perception verb,Ik kan je goed **zien**. — I can **see** you well.,,,kijken;waarnemen;aanschouwen,nl
wel,indeed / well,Emphasis,Dat klopt **wel**. — That is indeed **right**.,,,zeker;inderdaad;toch,nl
dit,this,Demonstrative,**Dit** is mijn fiets. — **This** is my bicycle.,,,deze;dat,nl
hun,their,Possessive pronoun,**Hun** huis is ver weg. — **Their** house is far away.,,,van hen;hen,nl
geen,no/none,Negation,Er is **geen** melk meer. — There is **no** milk left.,,,nul;niks;niets,nl
maken,to make,Action verb,Ik ga een taart **maken**. — I am going to **make** a cake.,,,creëren;bouwen;vervaardigen,nl
ons,us/our,Pronoun,Dit is **ons** huis. — This is **our** house.,,,van ons;wij,nl
uit,out,Preposition,Hij komt **uit** Nederland. — He comes **from** the Netherlands.,,,buiten;weg;af,nl
veel,much/many,Quantity word,Er zijn **veel** mensen aanwezig. — There are **many** people present.,,,talrijke;diverse;meerdere,nl
staan,to stand,Position verb,De vaas **staat** op tafel. — The vase **stands** on the table.,,,zijn;bevinden,nl
goed,good / well,Adjective,Dat is **goed** nieuws. — That is **good** news.,,,prima;uitstekend;fijn,nl
willen,to want,Desire verb,**Wil** jij mee naar de bioscoop? — Do you **want** to come to the cinema?,,,wensen;verlangen;begeren,nl
ander,other,Adjective,Ik zoek een **ander** boek. — I am looking for **another** book.,,,anders;overig;verscheidene,nl
doen,to do,Action verb,Wat ga jij **doen** vandaag? — What are you going to **do** today?,,,verrichten;uitvoeren;uitoefenen,nl
me,me,Object pronoun,Kun jij **me** helpen? — Can you help **me**?,,,mij;mezelf,nl
men,one (formal),Formal pronoun,**Men** zegt dat het gaat sneeuwen. — **One** says it is going to snow.,,,iedereen;iemand;mensen,nl
u,you (formal),Formal pronoun,Hoe gaat het met **u**? — How are **you** doing?,,,jij;je,nl
mij,me,Object pronoun,Dat is voor **mij**. — That is for **me**.,,,me;mezelf,nl
laten,to let,Allow verb,Laat **laten** we beginnen. — **Let** us begin.,,,toestaan;toelaten;verloven,nl
weten,to know,Knowledge verb,**Weet** jij het antwoord? — Do you **know** the answer?,,,kennen;begrijpen;snappen,nl
al,already / all,Time word,Ik ben **al** klaar. — I am **already** done.,,,reeds;eerder,nl
daar,there,Place word,Het boek ligt **daar**. — The book is **there**.,,,er;aldaar;ergens,nl
weer,again / weather,Repetition word,We gaan **weer** naar het strand. — We are going to the beach **again**.,,,opnieuw;nog eens;andermaal,nl
tegen,against,Preposition,Hij leunt **tegen** de muur. — He leans **against** the wall.,,,jegens;tegenover;bij,nl
denken,to think,Mental verb,Ik **denk** dat hij gelijk heeft. — I **think** he is right.,,,geloven;menen;vermoeden,nl
mens,human,Noun,Elke **mens** heeft rechten. — Every **human** has rights.,,,persoon;individu;iemand,nl
toch,yet/however,Contrast word,Ik ga **toch** mee. — I am coming **after all**.,,,echter;maar;alsnog,nl
toen,then (past),Time word,**Toen** ik klein was woonde ik in Utrecht. — **When** I was young I lived in Utrecht.,op dat moment;terwijl;in die tijd;terwijl;terzelfdertijd,nl
geven,to give,Action verb,Hij **geeft** mij een boek. — He **gives** me a book.,,,schenken;reiken;overhandigen,nl
hoe,how,Question word,**Hoe** laat is het? — **How** late is it?,,,op welke manier;waarmee,nl
blijven,to stay,To remain in a place or state,Ik **blijf** thuis vanavond. — I **stay** home tonight.,,,verblijven;volharden;aanblijven,nl
nu,now,Current time,**Nu** is het tijd om te gaan. — **Now** it is time to go.,,,momenteel;heden;tegenwoordig,nl
groot,big,Size adjective,Het huis is heel **groot**. — The house is very **big**.,,,enorm;reusachtig;immens,nl
vinden,to find,To discover or think,Ik **vind** dit heel interessant. — I **find** this very interesting.,,,ontdekken;aantreffen;lokaliseren,nl
kijken,to look,To see with attention,We **kijken** naar een film. — We are **looking** at a film.,,,zien;aanschouwen;observeren,nl
man,man / husband,Adult male,De **man** loopt naar zijn auto. — The **man** walks to his car.,,,heer;kerel;vent,nl
na,after,Time relation,**Na** het eten gaan we wandelen. — **After** eating we go for a walk.,,,achter;volgend op,nl
jaar,year,Time unit,Volgend **jaar** ga ik studeren. — Next **year** I am going to study.,,,jaargang;seizoen,nl
hier,here,Place word,Kom **hier** alsjeblieft. — Come **here** please.,hierheen;op deze plek;aldaar;hierheen;hiernaartoe;aldaar,nl
wij,we,First person plural,**Wij** gaan samen eten. — **We** are eating together.,,,we;ons,nl
houden,to keep/hold,To retain or like,Ik **houd** van lezen. — I **love** reading.,,,bewaren;vasthouden;bewaren,nl
tijd,time,Concept of time,We hebben geen **tijd** meer. — We have no more **time**.,,,periode;moment;ogenblik,nl
krijgen,to get,To receive,Ik **krijg** morgen een pakket. — I am **getting** a parcel tomorrow.,,,ontvangen;verkrijgen;verwerven,nl
zitten,to sit,Position verb,Hij **zit** in de stoel. — He **sits** in the chair.,,,zijn;bevinden;verblijven,nl
onder,under,Preposition,De kat zit **onder** de tafel. — The cat is sitting **under** the table.,,,beneden;eronder;aan de onderkant,nl
nemen,to take,To grab,Wil jij de boodschappen **nemen**? — Will you **take** the groceries?,,,pakken;grijpen;meenemen,nl
hand,hand,Body part,Hij geeft mij een **hand**. — He gives me his **hand**.,,,poot;klauw,nl
lang,long,Length/time,De weg is heel **lang**. — The road is very **long**.,,,uitgestrekt;verlengd;oneindig,nl
twee,two,Number,Ik heb **twee** broers. — I have **two** brothers.,,,een paar;duo,nl
omdat,because,Reason conjunction,Ik blijf thuis **omdat** ik ziek ben. — I stay home **because** I am ill.,,,want;aangezien;doordat,nl
liggen,to lie,Position verb,Het boek **ligt** op de vloer. — The book **lies** on the floor.,,,zijn;bevinden;rusten,nl
kind,child,Young person,Het **kind** speelt in de tuin. — The **child** plays in the garden.,,,kleuter;jongen;meisje,nl
eens,once / agree,At some time,We zijn het **eens** over dit plan. — We **agree** on this plan.,,,akkoord;eensgezind;samen,nl
dag,day,Time unit,Goede **dag**! — Good **day**!,,,etmaal;dagdeel,nl
tussen,between,Position,De school staat **tussen** twee huizen. — The school is **between** two houses.,,,midden in;temidden van,nl
af,off,Separation,Haal de foto **af** van de muur. — Take the photo **off** the wall.,,,weg;verwijderd,nl
zoals,such as,Example connector,Hij zingt **zoals** zijn vader. — He sings **like** his father.,,,als;gelijk;evenals,nl
vrouw,woman / wife,Adult female,De **vrouw** werkt als arts. — The **woman** works as a doctor.,,,dame;mevrouw;zij,nl
iets,something,Indefinite pronoun,Wil je **iets** eten? — Do you want **something** to eat?,,,een ding;iets dergelijks,nl
eerste,first,Ordinal number,Dit is de **eerste** dag van de week. — This is the **first** day of the week.,,,begin;aanvang;voorste,nl
zonder,without,Preposition,Ik drink koffie **zonder** suiker. — I drink coffee **without** sugar.,,,uitgezonderd;behalve,nl
alleen,only/alone,Restriction,Hij woont **alleen**. — He lives **alone**.,,,eenzaam;enkel;solitair,nl
brengen,to bring,To carry something,Kun jij de boodschappen **brengen**? — Can you **bring** the groceries?,,,dragen;leveren;bezorgen,nl
beginnen,to begin,Start action,We kunnen nu **beginnen**. — We can **begin** now.,,,starten;aanvangen;opstarten,nl
lopen,to walk,Movement verb,Ik **loop** elke dag naar school. — I **walk** to school every day.,,,wandelen;stappen;gaan,nl
toe,to (towards),Direction,Hij gaat de deur **toe**. — He closes the door **shut**.,,,dicht;gesloten,nl
oog,eye,Body part,Ze heeft mooie blauwe **ogen**. — She has beautiful blue **eyes**.,,,gezichtsvermogen,nl
want,because,Reason conjunction,Ik ga niet mee **want** ik ben moe. — I am not coming **because** I am tired.,omdat;aangezien;doordat;omdat;aangezien;doordat,nl
elkaar,each other,Reciprocal pronoun,Ze helpen **elkaar** altijd. — They always help **each other**.,,,wederzijds;onderling,nl
nooit,never,Time word,Ik ga **nooit** naar de supermarkt op zondag. — I **never** go to the supermarket on Sunday.,,,nimmer;geenszins,nl
vragen,to ask,To request information,Mag ik je iets **vragen**? — May I **ask** you something?,,,verzoeken;informeren;ondervragen,nl
niets,nothing,Negation pronoun,Er is **niets** meer over. — There is **nothing** left.,,,nul;niks,nl
zelf,self,Emphasis,Hij heeft het **zelf** gedaan. — He did it **himself**.,,,eigenhandig;persoonlijk,nl
horen,to hear,Perception verb,Ik kan je goed **horen**. — I can **hear** you well.,,,luisteren;vernemen;waarnemen,nl
altijd,always,Frequency,Ze is **altijd** vriendelijk. — She is **always** friendly.,,,steeds;voortdurend;eeuwig,nl
nieuw,new,Adjective,Ik heb een **nieuw** boek gekocht. — I bought a **new** book.,,,fris;vers;recent,nl
dus,so / therefore,Conclusion word,Hij was moe **dus** ging hij vroeg slapen. — He was tired **so** he went to bed early.,daarom;bijgevolg;derhalve;daarom;bijgevolg;derhalve,nl
wezen,to be (formal) / being / creature,Formal verb form,Dat kan niet **wezen**. — That cannot **be**.,,,zijn;bestaan,nl
eigen,own,Possessive adjective,Dit is mijn **eigen** kamer. — This is my **own** room.,,,persoonlijk;exclusief;privé,nl
laat,late / let,Time adjective,Het is al **laat**. — It is already **late**.,,,laattijdig;vertraagd;recent,nl
heel,very / whole,Degree word,Het was **heel** leuk. — It was **very** nice.,,,erg;zeer;enorm,nl
even,just / for a moment,Short time,Wacht **even** ik kom eraan. — Wait **just** a moment I'm coming.,korte tijd;momentje;efkes;korte tijd;momentje,nl
zelfs,even,Emphasis,**Zelfs** kinderen begrijpen dit. — **Even** children understand this.,,,ook;tot;inclusief,nl
mogen,may,Permission verb,**Mag** ik een koekje? — **May** I have a biscuit?,,,kunnen;toestemming hebben,nl
voelen,to feel,Emotion or touch,Ik **voel** me goed vandaag. — I **feel** good today.,,,gewaarworden;beseffen;bespeuren,nl
steeds,still/continually,Repetition,Hij is **steeds** later thuis. — He is getting home later **and later**.,,,altijd;voortdurend;constant,nl
plaats,place,Location,Dit is een mooie **plaats**. — This is a beautiful **place**.,,,plek;locatie;positie,nl
wie,who,Question word,**Wie** is jouw leraar? — **Who** is your teacher?,,,welke persoon,nl
ten,at/to (formal),Formal preposition,**Ten** slotte wil ik zeggen... — **At** last I want to say...,,,aan;bij;in,nl
misschien,maybe,Possibility word,**Misschien** ga ik morgen zwemmen. — **Maybe** I will go swimming tomorrow.,,,wellicht;mogelijk;eventueel,nl
alles,everything,Totality,**Alles** is goed gegaan. — **Everything** went well.,,,heel de boel;iedereen,nl
mee,along,Movement with,Kom je **mee** naar de markt? — Are you coming **along** to the market?,,,samen;erbij,nl
velen,many (people),Plural noun,**Velen** kwamen naar het concert. — **Many** came to the concert.,,,veel mensen;tallozen,nl
stellen,to put/set,To place or ask,Hij **stelt** veel vragen. — He **asks** many questions.,,,plaatsen;zetten;bepalen,nl
leven,life / to live,Existence,Het **leven** is mooi. — **Life** is beautiful.,,,bestaan;zijn;levenswijze,nl
huis,house,Building,Mijn **huis** is groot. — My **house** is big.,,,woning;woonst;pand,nl
terwijl,while,Time conjunction,Ik lees **terwijl** hij kookt. — I read **while** he cooks.,,,gedurende;zolang;tegelijk,nl
vallen,to fall,Movement verb,Het blad **valt** van de boom. — The leaf **falls** from the tree.,,,dalen;neerkomen;storten,nl
anders,otherwise / different,Alternative,Dat is **anders** dan ik dacht. — That is **different** from what I thought.,,,or else;ander;verscheiden,nl
moeder,mother,Parent,Mijn **moeder** kookt elke avond. — My **mother** cooks every evening.,,,mama;mam;maatje,nl
spreken,to speak,Communication verb,Ze **spreekt** drie talen. — She **speaks** three languages.,,,praten;zeggen;vertellen,nl
woord,word,Language unit,Wat betekent dit **woord**? — What does this **word** mean?,,,term;uitdrukking;begrip,nl
ja,yes,Affirmation,**Ja** dat klopt. — **Yes** that is correct.,jawel;zeker;inderdaad;jawel;zeker;inderdaad,nl
wanneer,when,Question word,**Wanneer** ga je op vakantie? — **When** are you going on holiday?,,,op welk moment;als;zodra,nl
vader,father,Parent,Mijn **vader** werkt in de stad. — My **father** works in the city.,,,papa;pa,nl
terug,back,Direction,Ze komt morgen **terug**. — She is coming **back** tomorrow.,,,achteruit;retour,nl
werk,work,Job or activity,Ik ga naar mijn **werk**. — I am going to **work**.,,,baan;job;betrekking,nl
hen,them,Object pronoun,Ik zie **hen** morgen. — I will see **them** tomorrow.,,,ze;hun;die,nl
lijken,to seem,Appearance verb,Het **lijkt** op een goed idee. — It **seems** like a good idea.,,,schijnen;eruit zien;overkomen,nl
mogelijk,possible,Adjective,Is het **mogelijk** om dat te doen? — Is it **possible** to do that?,,,denkbaar;uitvoerbaar;haalbaar,nl
achter,behind,Position,De tuin is **achter** het huis. — The garden is **behind** the house.,,,na;voorbij,nl
elk,each,Distribution,**Elk** kind wil spelen. — **Each** child wants to play.,,,ieder;iedere;elke,nl
ver,far,Distance,De stad is **ver** weg. — The city is **far** away.,,,afgelegen;verafgelegen,nl
hoofd,head,Body part,Hij heeft pijn in zijn **hoofd**. — He has pain in his **head**.,,,kop;schedel,nl
geval,case,Situation,In dit **geval** heb jij gelijk. — In this **case** you are right.,,,situatie;omstandigheid;kwestie,nl
echter,however,Contrast word,Het regent **echter** we gaan toch. — It is raining **however** we are still going.,maar;toch;doch;maar;toch;doch,nl
zeker,certainly / sure / certain,Confidence word,Ben je **zeker** van je antwoord? — Are you **sure** of your answer?,,,gewis;beslist;vaststaand,nl
bestaan,to exist,Existence verb,Dit probleem **bestaat** al lang. — This problem has **existed** for a long time.,,,zijn;leven;voorkomen,nl
later,later,Future time,We praten **later** over dit onderwerp. — We will talk about this topic **later**.,,,nadien;daarna;achteraf,nl
vertellen,to tell,To explain,Kun je me meer **vertellen** over dit? — Can you **tell** me more about this?,,,zeggen;uitleggen;mededelen,nl
volgen,to follow,To go after,Ik **volg** de les goed. — I **follow** the lesson well.,,,achternalopen;traceren;bijhouden,nl
jij,you,Informal pronoun,**Jij** bent mijn beste vriend. — **You** are my best friend.,,,je;u,nl
enkel,only/single,Limitation,**Enkel** jij kunt dit doen. — **Only** you can do this.,,,alleen;slechts;uitsluitend,nl
kennen,to know (person),Familiarity,Ik **ken** hem al jaren. — I have **known** him for years.,,,weten;herkennen;bekennen,nl
klein,small,Size adjective,Het kind is nog **klein**. — The child is still **small**.,,,nietig;minuscuul;piepklein,nl
natuurlijk,of course,Agreement,**Natuurlijk** kom ik naar je feest. — **Of course** I will come to your party.,,,uiteraard;vanzelfsprekend;zeker,nl
gezicht,face,Body part,Ze heeft een vriendelijk **gezicht**. — She has a friendly **face**.,,,gelaat;tronie;uiterlijk,nl
zeer,very,Degree word,Ik ben **zeer** blij met dit resultaat. — I am **very** pleased with this result.,,,erg;heel;enorm,nl
waarom,why,Question word,**Waarom** ben je verdrietig? — **Why** are you sad?,,,om welke reden;weswege,nl
paar,pair/few,Small quantity,Ik heb een **paar** vragen. — I have a **few** questions.,,,koppel;duo;tweetal,nl
ieder,each/every,Refers to all individually,**Ieder** kind verdient een kans. — **Every** child deserves a chance.,,,elk;iedere;alle,nl
drie,three,Number,Ik heb **drie** katten. — I have **three** cats.,,,trio;drieluik,nl
oud,old,Age adjective,De kerk is heel **oud**. — The church is very **old**.,,,bejaard;bejaarde;afgeleefd,nl
vraag,question,Something you ask,Ik heb een **vraag** voor jou. — I have a **question** for you.,,,kwestie;probleem;verzoek,nl
trekken,to pull,To draw or pull,Hij **trekt** de deur open. — He **pulls** the door open.,,,sleuren;rukken;slepen,nl
iemand,someone,Unknown person,**Iemand** heeft mijn boek meegenomen. — **Someone** took my book.,,,een persoon;wie dan ook,nl
zo'n,such a,Indicates type,**Zo'n** mooie dag is zeldzaam. — **Such a** beautiful day is rare.,,,dergelijke;zulke,nl
blijken,to appear,To turn out,Het **blijkt** moeilijker dan gedacht. — It **turns out** to be harder than expected.,,,uitblijken;schijnen;lijken,nl
vaak,often,Frequency,Ik ga **vaak** naar de bibliotheek. — I **often** go to the library.,,,dikwijls;regelmatig;veelvuldig,nl
soms,sometimes,Occasionally,**Soms** ga ik naar de bioscoop. — **Sometimes** I go to the cinema.,,,af en toe;nu en dan;her en der,nl
wereld,world,The earth or global society,De **wereld** is groot en mooi. — The **world** is big and beautiful.,,,aardbol;globe;aarde,nl
keer,time/occasion,Occurrence,Ik heb dat al twee **keer** gedaan. — I have already done that two **times**.,,,maal;keer;gelegenheid,nl
duidelijk,clear,Easy to understand,Zijn uitleg was heel **duidelijk**. — His explanation was very **clear**.,,,helder;begrijpelijk;zonneklaar,nl
eerst,first,Before others,**Eerst** eten dan spelen. — **First** eat then play.,allereerst;vooreerst;in eerste instantie;allereerst;in de eerste plaats,nl
vooral,especially,Particularly,**Vooral** in de zomer ga ik zwemmen. — I go swimming **especially** in summer.,,,met name;in het bijzonder;bovenal,nl
