word,en,meaning,sentence,reading,romaji,synonyms,language
persona,person,Individual,Ella es una **persona** muy amable. — She is a very kind **person**.,,,,es
tiempo,time,Duration or weather,No tengo mucho **tiempo** hoy. — I don’t have much **time** today.,,,,es
casa,house,Home/Building,Mi **casa** tiene dos pisos. — My **house** has two floors.,,,,es
amigo,friend,Pal/Companion,Él es mi mejor **amigo**. — He is my best **friend**.,,,,es
trabajo,work,Job or task,Me gusta mi **trabajo**. — I like my **job**.,,,,es
nuevo,new,Recent/Modern,Tengo un coche **nuevo**. — I have a **new** car.,,,,es
grande,big,Large/Great,Es una ciudad muy **grande**. — It is a very **big** city.,,,,es
vida,life,Existence,La **vida** es bella. — **Life** is beautiful.,,,,es
mundo,world,The planet/Everything,Quiero viajar por todo el **mundo**. — I want to travel the whole **world**.,,,,es
palabra,word,Unit of language,No entiendo esta **palabra**. — I don’t understand this **word**.,,,,es
lugar,place,Location,Este es un **lugar** hermoso. — This is a beautiful **place**.,,,,es
pequeño,small,Little,El gato es muy **pequeño**. — The cat is very **small**.,,,,es
familia,family,Relatives,Mi **familia** vive en Madrid. — My **family** lives in Madrid.,,,,es
ciudad,city,Urban area,La **ciudad** es muy ruidosa. — The **city** is very noisy.,,,,es
nombre,name,Appellation,¿Cuál es tu **nombre**? — What is your **name**?,,,,es
ser,to be,Identity/Origin,Yo **soy** profesor. — I **am** a teacher.,,,,es
estar,to be,Location/State,¿Cómo **estás**? — How **are** you?,,,,es
tener,to have,Possession/Age,Yo **tengo** un perro. — I **have** a dog.,,,,es
hacer,to do/make,Action/Creation,Me gusta **hacer** ejercicio. — I like **to do** exercise.,,,,es
ir,to go,Movement,Voy a **ir** al mercado. — I am going **to go** to the market.,,,,es
poder,can/be able to,Ability/Possibility,¿**Puedo** entrar? — **Can** I come in?,,,,es
decir,to say/tell,Communication,¿Qué quieres **decir**? — What do you want **to say**?,,,,es
querer,to want/love,Desire/Affection,Yo **quiero** un café. — I **want** a coffee.,,,,es
saber,to know,Information/Skills,No lo **sé**. — I don’t **know** it.,,,,es
venir,to come,Arrival,¿Quieres **venir** conmigo? — Do you want **to come** with me?,,,,es
ver,to see,Vision,¿Quieres **ver** una película? — Do you want **to see** a movie?,,,,es
dar,to give,Transferring,Te **doy** mi palabra. — I **give** you my word.,,,,es
hablar,to speak,Speech,Me gusta **hablar** en español. — I like **to speak** in Spanish.,,,,es
comer,to eat,Consuming food,Vamos a **comer** ahora. — We are going **to eat** now.,,,,es
vivir,to live,Residing,Quiero **vivir** en el campo. — I want **to live** in the countryside.,,,,es
año,year,Calendar year,Este **año** es difícil. — This **year** is difficult.,,,,es
día,day,24-hour period,Buenos **días**. — Good **day**.,,,,es
vez,time/occurrence,Instance,Una **vez** más. — One more **time**.,,,,es
hombre,man,Male adult,El **hombre** es alto. — The **man** is tall.,,,,es
mujer,woman,Female adult,La **mujer** está feliz. — The **woman** is happy.,,,,es
niño,child,Young boy,El **niño** juega. — The **child** plays.,,,,es
mañana,morning/tomorrow,Next day/Early day,Hasta **mañana**. — See you **tomorrow**.,,,,es
país,country,Nation,Mi **país** es hermoso. — My **country** is beautiful.,,,,es
calle,street,Road,Cruza la **calle**. — Cross the **street**.,,,,es
agua,water,Liquid,Quiero un vaso de **agua**. — I want a glass of **water**.,,,,es
comida,food,Meal,La **comida** está lista. — The **food** is ready.,,,,es
libro,book,Reading material,Lee un **libro**. — Read a **book**.,,,,es
mano,hand,Part of body,Dame la **mano**. — Give me your **hand**.,,,,es
ojo,eye,Organ of sight,Cierra el **ojo**. — Close your **eye**.,,,,es
parte,part,Piece/Section,Es **parte** del plan. — It is **part** of the plan.,,,,es
coche,car,Vehicle,El **coche** es rojo. — The **car** is red.,,,,es
dinero,money,Currency,No tengo **dinero**. — I have no **money**.,,,,es
puerta,door,Entrance,Abre la **puerta**. — Open the **door**.,,,,es
bueno,good,Positive quality,Es un **buen** libro. — It is a **good** book.,,,,es
malo,bad,Negative quality,Eso es muy **malo**. — That is very **bad**.,,,,es
viejo,old,Aged,Mi reloj es **viejo**. — My watch is **old**.,,,,es
hermoso,beautiful,Pretty,Un paisaje **hermoso**. — A **beautiful** landscape.,,,,es
fácil,easy,Simple,El examen fue **fácil**. — The exam was **easy**.,,,,es
difícil,difficult,Hard,Es un tema **difícil**. — It is a **difficult** topic.,,,,es
feliz,happy,Joyful,Estoy muy **feliz**. — I am very **happy**.,,,,es
triste,sad,Unhappy,¿Por qué estás **triste**? — Why are you **sad**?,,,,es
caliente,hot,High temperature,El café está **caliente**. — The coffee is **hot**.,,,,es
frío,cold,Low temperature,Hace mucho **frío**. — It is very **cold**.,,,,es
mucho,much/many,A lot,**Mucho** gusto. — **Much** pleasure (Nice to meet you).,,,,es
poco,little/few,Small amount,Hablo un **poco**. — I speak a **little**.,,,,es
ahora,now,Present moment,Hazlo **ahora**. — Do it **now**.,,,,es
siempre,always,All times,**Siempre** te ayudo. — I **always** help you.,,,,es
nunca,never,At no time,**Nunca** es tarde. — It is **never** too late.,,,,es
hoy,today,This day,**Hoy** es lunes. — **Today** is Monday.,,,,es
aquí,here,This place,Ven **aquí**. — Come **here**.,,,,es
allí,there,That place,**Allí** está el perro. — The dog is **there**.,,,,es
muy,very,Highly,Es **muy** inteligente. — He is **very** intelligent.,,,,es
bien,well/good,Correctly,Todo está **bien**. — Everything is **well**.,,,,es
mal,badly,Incorrectly,Me siento **mal**. — I feel **badly/sick**.,,,,es
también,also/too,In addition,Yo **también** voy. — I am **also** going.,,,,es
tampoco,neither,Not either,Yo **tampoco** sé. — I don’t know **either**.,,,,es
pero,but,Contrast,"Es caro, **pero** bueno. — It is expensive, **but** good.",,,,es
porque,because,Reason,Como **porque** tengo hambre. — I eat **because** I am hungry.,,,,es
cuando,when,At what time,Llámame **cuando** llegues. — Call me **when** you arrive.,,,,es
donde,where,What place,¿**Dónde** vives? — **Where** do you live?,,,,es
yo,I,1st person singular,**Yo** soy de México. — **I** am from Mexico.,,,,es
tú,you,2nd person informal,**Tú** eres mi amigo. — **You** are my friend.,,,,es
él/ella,he/she,3rd person singular,**Ella** es doctora. — **She** is a doctor.,,,,es
nosotros,we,1st person plural,**Nosotros** estamos listos. — **We** are ready.,,,,es
ustedes,you all,2nd person plural,¿**Ustedes** quieren agua? — Do **you all** want water?,,,,es
ellos/ellas,they,3rd person plural,**Ellos** corren rápido. — **They** run fast.,,,,es
mi/mis,my,Possessive 1st,Es **mi** libro. — It is **my** book.,,,,es
tu/tus,your,Possessive 2nd,¿Dónde está **tu** gato? — Where is **your** cat?,,,,es
su/sus,his/her/their,Possessive 3rd,Es **su** casa. — It is **his/her/their** house.,,,,es
con,with,Accompanying,Café **con** leche. — Coffee **with** milk.,,,,es
sin,without,Lacking,Agua **sin** gas. — Water **without** gas.,,,,es
para,for/to,Purpose/Destination,Es **para** ti. — It is **for** you.,,,,es
por,by/for/through,Cause/Reason,Gracias **por** todo. — Thanks **for** everything.,,,,es
de,of/from,Origin/Possession,Soy **de** España. — I am **from** Spain.,,,,es
en,in/on,Location,**En** la mesa. — **On** the table.,,,,es
hola,hello,Greeting,"**Hola**, ¿qué tal? — **Hello**, how is it going?",,,,es
adiós,goodbye,Farewell,Dijo **adiós** y se fue. — He said **goodbye** and left.,,,,es
por favor,please,Politeness,"Ayúdame, **por favor**. — Help me, **please**.",,,,es
gracias,thanks,Appreciation,Muchas **gracias**. — Many **thanks**.,,,,es
sí,yes,Affirmation,"**Sí**, quiero ir. — **Yes**, I want to go.",,,,es
no,no,Negation,"**No**, gracias. — **No**, thank you.",,,,es
quién,who,Question person,¿**Quién** es él? — **Who** is he?,,,,es
qué,what,Question object,¿**Qué** es esto? — **What** is this?,,,,es
cuánto,how much,Question quantity,¿**Cuánto** cuesta? — **How much** does it cost?,,,,es
cómo,how,Question manner,¿**Cómo** estás? — **How** are you?,,,,es
entonces,then/so,Consequence,"**Entonces**, vamos. — **So**, let’s go.",,,,es
cada,each,Every single,**Cada** día es mejor. — **Each** day is better.,,,,es
mismo,same,Identical,Es el **mismo** coche. — It is the **same** car.,,,,es
algo,something,Indefinite object,Quiero **algo** de comer. — I want **something** to eat.,,,,es
nada,nothing,Zero/Not anything,No hay **nada**. — There is **nothing**.,,,,es
pensar,to think,Mental activity,Necesito **pensar** un momento. — I need **to think** for a moment.,,,,es
creer,to believe,Opinion/Faith,No lo **creo**. — I don’t **believe** it.,,,,es
mirar,to look at,Observe,**Mira** ese pájaro. — **Look** at that bird.,,,,es
buscar,to look for,Search,**Busco** mis llaves. — I am **looking for** my keys.,,,,es
encontrar,to find,Locate,No puedo **encontrar** mi móvil. — I can’t **find** my mobile.,,,,es
llamar,to call,Summon/Name,¿Cómo te **llamas**? — What is your **name** (How do you call yourself)?,,,,es
dejar,to leave/let,Abandon/Allow,**Deja** la mesa aquí. — **Leave** the table here.,,,,es
sentir,to feel,Emotion/Sensation,Lo **siento** mucho. — I **feel** it very much (I am very sorry).,,,,es
parecer,to seem,Appearance,**Parece** que va a llover. — It **seems** like it is going to rain.,,,,es
esperar,to wait/hope,Expectation,**Espero** que estés bien. — I **hope** you are well.,,,,es
quedar,to stay/remain,Location/Leftover,Nos **quedamos** en el hotel. — We are **staying** at the hotel.,,,,es
llevar,to carry/wear,Transport/Clothing,**Llevo** una chaqueta negra. — I am **wearing** a black jacket.,,,,es
